timestamp_localtime,experiment,pioreactor_unit,timestamp,message,source,level,task
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:20.730687Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for leader1.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:28.340598Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker3.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:28.351440Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker2.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:28.361052Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker1.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:28.361652Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for leader1.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:36.038272Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:36.121081Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:36.853304Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:36.860631Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:36.891832Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:36.912594Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:36.919657Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:36.950795Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:49.962537Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:49.977359Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:49.977705Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:49.981251Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:49.991139Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:49.992180Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:49.995196Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:50.011899Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:53,Switching Media Salinity,worker3,2024-05-23T18:53:17.360701Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,add_media
5/23/24 11:53,Switching Media Salinity,worker3,2024-05-23T18:53:17.374776Z,Running media pump continuously.,app,INFO,add_media
5/23/24 11:53,Switching Media Salinity,worker2,2024-05-23T18:53:17.376271Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,add_media
5/23/24 11:53,Switching Media Salinity,worker1,2024-05-23T18:53:17.384146Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,add_media
5/23/24 11:53,Switching Media Salinity,leader1,2024-05-23T18:53:17.388914Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,add_media
5/23/24 11:53,Switching Media Salinity,worker2,2024-05-23T18:53:17.389983Z,Running media pump continuously.,app,INFO,add_media
5/23/24 11:53,Switching Media Salinity,worker1,2024-05-23T18:53:17.398015Z,Running media pump continuously.,app,INFO,add_media
